Slot,M_4SRA,N_4SRA,MiSn_4SRA,M_2SRA,N_2SRA,MiSn_2SRA,MiSn_FB,MiSn_T
0,500,54,0.030097,500,54,0.030097,0.0,0.060194
1,500,54,15.0,500,54,15.0,0.0,30.0
2,500,54,1.856663,500,54,1.856663,0.0,3.713326
3,500,54,2.380473,500,54,2.380473,0.0,4.760946
4,500,54,5.676233,500,54,5.676233,0.0,11.352466
5,500,54,2.797335,500,54,2.797335,0.0,5.59467
6,500,54,4.204021,500,54,4.204021,0.0,8.408042
7,500,54,4.162143,500,54,4.162143,0.0,8.324286
8,500,54,3.913621,500,54,3.913621,0.0,7.827242
9,500,54,4.433014,500,54,4.433014,0.0,8.866028
10,500,54,4.343069,500,54,4.343069,0.0,8.686138
11,500,54,4.507573,500,54,4.507573,0.0,9.015146
12,500,54,4.686095,500,54,4.686101,1e-06,9.372197
13,500,54,4.766859,500,54,4.766953,1.6e-05,9.533828
14,500,54,4.94153,500,54,4.942518,0.00017,9.884218
15,500,54,5.079694,500,54,5.086888,0.001253,10.167835
16,500,54,5.206828,500,54,5.246002,0.006909,10.459739
17,500,54,5.28356,500,54,5.449127,0.029443,10.76213
18,500,54,5.170436,500,54,5.721757,0.097147,10.98934
19,500,54,4.739282,500,54,6.210836,0.248156,11.198274
20,500,54,3.955446,500,54,7.170284,0.491489,11.617219
21,500,54,3.037633,500,54,9.043441,0.790574,12.871648
22,500,54,2.29307,500,54,12.364002,1.150506,15.807578
23,500,54,1.849879,500,54,15.0,1.724674,18.574553
24,500,54,1.580363,500,54,15.0,2.805376,19.385739
25,500,54,1.252441,500,54,15.0,4.635429,20.88787
26,500,54,0.805954,500,54,8.877918,7.212352,16.896224
27,500,54,0.329414,500,54,2.733502,9.185781,12.248697
28,500,54,0.087325,500,54,0.404254,10.433673,10.925252
29,500,54,0.014196,500,54,0.023003,11.391814,11.429013
30,500,54,0.001066,500,54,0.000434,12.135093,12.136593
31,500,54,0.0,500,54,0.0,12.919508,12.919508
32,500,54,0.0,500,54,0.0,13.736803,13.736803
33,500,54,0.0,500,54,0.0,14.580477,14.580477
34,500,54,0.0,500,54,0.0,15.0,15.0
35,500,54,0.0,500,54,0.0,15.0,15.0
36,500,54,0.0,500,54,0.0,15.0,15.0
37,500,54,0.0,500,54,0.0,15.0,15.0
38,500,54,0.0,500,54,0.0,15.0,15.0
39,500,54,0.0,500,54,0.0,15.0,15.0
40,500,54,0.0,500,54,0.0,15.0,15.0
41,500,54,0.0,500,54,0.0,15.0,15.0
42,500,54,0.0,500,54,0.0,15.0,15.0
43,500,54,0.0,500,54,0.0,15.0,15.0
44,500,54,0.0,500,54,0.0,15.0,15.0
45,500,54,0.0,500,54,0.0,11.363103,11.363103
46,500,54,0.0,500,54,0.0,6.61259,6.61259
47,500,54,0.0,500,54,0.0,2.804442,2.804442
48,500,54,0.0,500,54,0.0,0.884813,0.884813
49,500,54,0.0,500,54,0.0,0.17973,0.17973
50,500,54,0.0,500,54,0.0,0.020986,0.020986
51,500,54,0.0,500,54,0.0,0.001435,0.001435
52,500,54,0.0,500,54,0.0,4.2e-05,4.2e-05
53,500,54,0.0,500,54,0.0,0.0,0.0
54,500,54,0.0,500,54,0.0,0.0,0.0
55,500,54,0.0,500,54,0.0,0.0,0.0
56,500,54,0.0,500,54,0.0,0.0,0.0
57,500,54,0.0,500,54,0.0,0.0,0.0
58,500,54,0.0,500,54,0.0,0.0,0.0
59,500,54,0.0,500,54,0.0,0.0,0.0
60,500,54,0.0,500,54,0.0,0.0,0.0
61,500,54,0.0,500,54,0.0,0.0,0.0
62,500,54,0.0,500,54,0.0,0.0,0.0
