Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,Ru_T
0.05,135,27,80,20,5,134.9982,0.999987,313.28338525995144,135,27,80,20,5,134.9922,0.999942,287.38692976334926,0.0078,20,5,0.004,0.512821,586.2499999999999,269.99440000000004,0.999979,287.395785,300.339681,286.0,72360.0,72646.0,150.99779999999998,72225.00779999999,72376.00559999999,0.003717
0.06,162,27,80,20,5,161.9634,0.999774,335.7069788606562,162,27,80,20,5,161.9212,0.999514,309.8760471142754,0.0788,20,5,0.0412,0.522843,592.5631067961165,323.9258,0.999771,309.947957,322.827508,341.0,72360.0,72701.0,178.9954,72198.0788,72377.0742,0.004456
0.07,190,27,80,20,5,189.6868,0.998352,358.9170906989838,190,27,80,20,5,189.546,0.997611,332.5118915724943,0.454,20,5,0.264,0.581498,594.5037878787881,379.4968,0.998676,332.876287,345.892462,380.0,72360.0,72740.0,190.04919999999996,72170.454,72360.50319999999,0.005217
0.08,216,27,80,20,5,213.4766,0.988318,378.0746287883542,216,27,80,20,5,213.068,0.986426,351.8074511423584,1.932,20,5,1.3606,0.704244,602.21027487873,427.9052,0.990521,353.396316,365.70802,496.0,72360.0,72856.0,281.16279999999995,72146.932,72428.0948,0.005873
0.09,243,27,80,20,5,235.9746,0.971089,396.58971897822903,243,27,80,20,5,236.1176,0.971677,370.315242065818,5.8824,20,5,4.968,0.844553,611.657608695652,477.06020000000007,0.981605,375.288533,385.825021,570.0,72360.0,72930.0,329.0574000000001,72123.8824,72452.93980000001,0.006541
0.1,270,27,80,20,5,252.6722,0.935823,410.38398802875804,270,27,80,20,5,254.57,0.942852,385.6413913658326,14.43,20,5,13.4342,0.930991,624.3806925607778,520.6764000000001,0.964216,397.608635,403.808218,606.0,72360.0,72966.0,339.8935999999997,72105.43,72445.32359999999,0.007136
0.2,540,27,80,20,5,206.146,0.381752,442.8650471025389,540,27,80,20,5,244.1376,0.452107,438.84293611471566,294.8624,20,5,292.04,0.990428,798.6910183536501,742.3235999999999,0.687337,634.841489,581.528924,1570.0,72360.0,73930.0,1071.8139999999999,72115.8624,73187.6764,0.010041
0.3,810,27,80,20,5,155.5152,0.191994,452.9214867742829,810,27,80,20,5,188.3748,0.232561,450.7874970537462,619.6252,20,5,398.4586,0.643064,866.0575309454986,742.3486,0.45824,732.754945,674.132411,2308.0,72360.0,74668.0,1754.0262,72171.6252,73925.65139999999,0.009942
0.4,1080,27,80,20,5,129.0808,0.119519,460.9960148991946,1080,27,80,20,5,156.6454,0.145042,458.205298719273,920.3546,20,5,351.0748,0.381456,867.8951505491141,636.8009999999999,0.294815,741.494762,684.637121,2556.0,72360.0,74916.0,2075.8443999999986,72203.35459999999,74279.199,0.0085
0.5,1350,27,80,20,5,112.8036,0.083558,467.5964933743252,1350,27,80,20,5,137.3532,0.101743,464.1483736818655,1209.6468,20,5,315.1202,0.260506,866.3851257393208,565.277,0.209362,744.281804,689.06799,2738.0,72360.0,75098.0,2310.0761999999995,72222.6468,74532.723,0.007527
0.6,1620,27,80,20,5,101.5568,0.062689,473.15101893718565,1620,27,80,20,5,124.1496,0.076636,469.3770757215488,1491.8504,20,5,292.683,0.196188,865.5549434029309,518.3894,0.159997,747.557158,693.79871,2876.0,72360.0,75236.0,2481.7602000000015,72235.8504,74717.6106,0.00689
0.7,1890,27,80,20,5,93.2214,0.049323,477.7311722415669,1890,27,80,20,5,114.5798,0.060624,473.7840099214694,1770.4202,20,5,277.2398,0.156595,864.7981274694325,485.041,0.128318,750.453875,698.038528,2937.0,72360.0,75297.0,2566.5387999999994,72245.4202,74811.95899999999,0.006442
0.8,2160,27,80,20,5,86.8224,0.040196,481.1744918362081,2160,27,80,20,5,107.218,0.049638,477.2337853718592,2047.782,20,5,266.3014,0.130044,864.625134152505,460.34180000000003,0.106561,753.425219,702.077586,3051.0,72360.0,75411.0,2697.876200000001,72252.782,74950.6582,0.006104
0.9,2430,27,80,20,5,81.5346,0.033553,484.03759017644046,2430,27,80,20,5,101.4148,0.041734,480.2983844567065,2322.5852,20,5,258.14,0.111143,864.1027581932287,441.08939999999996,0.090759,755.848206,705.604492,3093.0,72360.0,75453.0,2753.325399999999,72258.5852,75011.9106,0.005846
1.0,2700,27,80,20,5,77.3466,0.028647,486.3236819718,2700,27,80,20,5,96.4822,0.035734,482.56373610883674,2596.5178,20,5,251.2462,0.096763,864.449703517904,425.075,0.078718,758.49,708.966647,3213.0,72360.0,75573.0,2884.4072000000015,72263.5178,75147.925,0.005625
