Lambda,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo,Ru_T
0.05,0.997703,113.804083,72642.66013989826,72373.28033157694,"[4, 4, 3, 20, 30, 5]",0.003708
0.06,0.990816,120.476347,72706.2101769559,72385.18588993848,"[4, 4, 3, 20, 30, 5]",0.004415
0.07,0.977204,124.197808,72730.54844534358,72360.18800683565,"[3, 4, 3, 40, 30, 5]",0.005092
0.08,0.962313,129.193694,72793.58986751623,72377.87073067644,"[3, 4, 3, 40, 30, 5]",0.005711
0.09,0.944693,134.268221,72849.10536185539,72389.98477238971,"[3, 4, 3, 40, 30, 5]",0.006302
0.1,0.922048,139.272828,72913.91989646273,72416.01389841524,"[3, 4, 3, 40, 30, 5]",0.006829
0.2,0.492198,189.399949,73599.79833188311,73068.2239627742,"[3, 4, 3, 30, 30, 5]",0.007222
0.3,0.191417,194.621841,73304.18793505667,72994.09255682689,"[3, 3, 3, 5, 40, 10]",0.00423
0.4,0.099379,201.26508,73348.34698254333,73133.68739593236,"[3, 3, 3, 5, 40, 10]",0.002927
0.5,0.063704,208.268452,73373.78175559273,73201.78229298702,"[3, 3, 3, 5, 40, 10]",0.002344
0.6,0.045969,213.222534,73390.4566615054,73241.51571212616,"[3, 3, 3, 5, 40, 10]",0.002029
0.7,0.03556,216.457502,73403.29385832885,73268.8776546225,"[3, 3, 3, 5, 40, 10]",0.001831
0.8,0.028744,218.605363,73416.46489052099,73292.28925931506,"[3, 3, 3, 5, 40, 10]",0.001691
0.9,0.023954,220.096648,73424.85501480587,73308.43764110946,"[3, 3, 3, 5, 40, 10]",0.001586
1.0,0.020403,221.205957,73430.55220408014,73320.37462969225,"[3, 3, 3, 5, 40, 10]",0.0015
