Lambda,M_4SRA,M_2SRA,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,retrans_wbo
0.05,180,90,1,120.363167,72731.85521,72461.85522,"[7, 5, 3, 30, 20, 5]"
0.06,216,108,0.996914,127.882935,72817.52516,72494.52516,"[8, 5, 3, 30, 30, 5]"
0.07,252.6666667,126.3333333,0.997361,135.444366,72892.7726,72514.77289,"[7, 6, 3, 40, 30, 5]"
0.08,288,144,0.997685,142.89206,72991.80876,72560.8088,"[8, 6, 3, 40, 30, 5]"
0.09,324,162,0.997942,150.702475,73041.00128,72556.00131,"[8, 7, 3, 60, 30, 5]"
0.1,360,180,0.998148,158.098467,73137.09565,72598.09584,"[8, 7, 3, 60, 30, 5]"
0.2,720,360,0.994503,268.705523,74509.30658,73435.24284,"[10, 10, 10, 60, 60, 5]"
0.3,1080,540,0.943974,307.69387,74867.81937,73338.58159,"[5, 10, 4, 160, 60, 5]"
0.4,1440,720,0.81662,341.15282,75018.89552,73254.99583,"[3, 10, 3, 240, 60, 160]"
0.5,1800,900,0.711456,352.134596,75307.32489,73386.3949,"[3, 5, 3, 240, 160, 240]"
0.6,2160,1080,0.614166,386.536861,75545.92561,73556.02887,"[3, 5, 3, 240, 160, 240]"
0.7,2520,1260,0.529813,429.669911,75844.42278,73841.73046,"[3, 5, 3, 240, 160, 240]"
0.8,2880,1440,0.459793,482.82061,76213.56569,74227.26111,"[3, 5, 3, 240, 160, 240]"
0.9,3240,1620,0.402116,542.880929,76654.3962,74700.11074,"[3, 5, 3, 240, 160, 240]"
1,3600,1800,0.35536,510.597579,76623.15981,74704.21676,"[3, 3, 3, 240, 240, 240]"
