Lambda,Wrar_4SRA,Wrar_2SRA,Rts_4SRA,Rts_2SRA,Rts_FB,Wbo_4SRA,Wbo_2SRA,Wbo_FB,Ps_T,Da_T,Ur_PUSCH_T,Wr_PUSCH_T,Ru_T,mu,N_2SRA,N_4SRA
0.05,20,20,5,5,5,20,20,20,0.883227,145.732359,727.6859237041256,489.21458971769107,0.327712,0.7,27,27
0.06,20,20,5,5,5,20,20,20,0.874791,148.433907,867.0265891651198,583.5942824954278,0.326902,0.7,27,27
0.07,20,20,5,5,5,20,20,20,0.855882,154.512403,1009.7604454617839,685.3813107657102,0.321244,0.7,27,27
0.08,20,20,5,5,5,20,20,20,0.880412,154.008938,1165.0422341414555,784.7040541582942,0.326459,0.8,27,27
0.09,20,20,5,5,5,20,20,20,0.869215,159.822701,1314.5934042330628,892.1551269906026,0.321345,0.8,27,27
0.1,20,20,5,5,5,20,20,20,0.856276,165.030159,1464.9983316863481,1002.6094517431635,0.315624,0.8,27,27
0.2,20,20,5,5,5,20,20,20,0.596345,240.415665,2548.556386135835,1904.5032535832695,0.252713,3.1,27,27
0.3,20,20,5,5,5,20,20,20,0.412276,307.584265,3454.1500908177745,2786.262401904301,0.193358,2.7,27,27
0.4,20,20,5,5,5,20,20,20,0.214222,328.804849,3620.217383691833,3157.4971172388077,0.127816,2.9,27,27
0.5,20,20,5,5,5,20,20,20,0.115558,342.14495,3669.71412450375,3357.70643252852,0.085022,4.5,27,27
0.6,20,20,5,5,5,20,20,20,0.070175,353.445874,3696.5934040967168,3469.2277834647925,0.061507,5.0,27,27
0.7,20,20,5,5,5,20,20,20,0.047383,363.070946,3715.0080829692556,3535.900831377841,0.048212,5.0,27,27
0.8,20,20,5,5,5,20,20,20,0.034949,370.674035,3731.0180461304576,3580.040249259825,0.040466,5.0,27,27
0.9,20,20,5,5,5,20,20,20,0.027602,376.209329,3740.080753985268,3605.9342035155923,0.035867,5.0,27,27
1.0,20,20,5,5,5,20,20,20,0.02288,379.994679,3748.9696664234443,3625.415540453775,0.032957,5.0,27,27
