Lambda,M_4SRA,N_4SRA,wrar_4SRA,wbo_4SRA,rts_4SRA,Ms_4SRA,Ps_4SRA,Da_4SRA,M_2SRA,N_2SRA,wrar_2SRA,wbo_2SRA,rts_2SRA,Ms_2SRA,Ps_2SRA,Da_2SRA,M_FB,wbo_FB,rts_FB,Ms_FB,Ps_FB,Da_FB,Ms_T,Ps_T,Da_2SRA_T,Da_T,Ur_PUSCH_4SRA_T,Ur_PUSCH_2SRA,Ur_PUSCH_T,Wr_PUSCH_4SRA_T,Wr_PUSCH_2SRA,Wr_PUSCH_T,mu,Ru_T
0.05,135,27,20,20,5,122.9367,0.910642,136.0350802,135,27,20,20,5,123.8125,0.91713,111.0597214,11.1875,20,5,11.1864,0.999902,254.4322749,257.9356,0.955317,122.939987,129.181341,410,353,763,275.8769,229.1875,505.0644,1,0.338055
0.06,162,27,20,20,5,150.4884,0.928941,141.0084146,162,27,20,20,5,151.429,0.934747,115.7482087,10.571,20,5,10.5709,0.999991,247.9092083,312.4883,0.96447,124.372046,132.383803,402,445,847,240.9407,293.571,534.5117,1.1,0.368935
0.07,190,27,20,20,5,175.603667,0.92423,145.8880326,190,27,20,20,5,176.346667,0.92814,120.5507332,13.653333,20,5,13.653333,1,248.3780578,365.603667,0.962115,129.73636,137.494195,492,501,993,302.742998,324.653329,627.396327,1.2,0.368181
0.08,216,27,20,20,5,197.484,0.914278,150.9090914,216,27,20,20,5,198.2462,0.917806,125.6085887,16.7538,20,5,16.7532,0.999964,248.2851396,412.4834,0.954823,135.1678,142.704232,574,634,1208,359.7628,435.7538,795.5166,1.3,0.34146
0.09,243,27,20,20,5,220.9427,0.909229,156.7768582,243,27,20,20,5,221.2358,0.910435,131.2604294,20.7642,20,5,20.7637,0.999976,246.6454606,462.9422,0.952556,141.160533,148.613544,631,677,1308,389.2936,455.7642,845.0578,1.5,0.353931
0.1,270,27,20,20,5,244.3279,0.904918,163.5156032,270,27,20,20,5,247.7081,0.917437,138.311686,21.2919,20,5,21.2919,1,240.24077,513.3279,0.950607,146.379581,154.535788,655,835,1490,389.3802,587.2919,976.6721,3.3,0.344515
0.2,540,27,20,20,5,108.700333,0.201297,162.1175055,540,27,20,20,5,162.556333,0.30103,158.8862849,376.443667,20,5,374.016,0.993551,299.2602848,645.272666,0.597475,256.733525,240.794848,1627,905,2532,1144.283669,742.443665,1886.727334,3.1,0.254847
0.3,810,27,20,20,5,38.737,0.047823,150.3084949,810,27,20,20,5,80.639667,0.099555,170.4192533,727.360333,20,5,549.415333,0.755355,338.9763927,668.792,0.412835,317.403051,307.724793,2513,924,3437,1924.847664,843.360333,2768.207997,2.7,0.194586
0.4,1080,27,20,20,5,15.744333,0.014578,140.3361345,1080,27,20,20,5,49.342667,0.045688,184.6809105,1027.657333,20,5,398.174,0.387458,354.3716742,463.261,0.214473,335.661768,329.023454,2704,927,3631,2290.081663,877.657334,3167.738997,2.9,0.127585
0.5,1350,27,20,20,5,7.272,0.005387,131.5350202,1350,27,20,20,5,37.001333,0.027408,198.5121995,1309.998667,20,5,268.286,0.204799,367.9145501,312.559333,0.115763,347.382703,342.360795,2718,950,3668,2442.442005,912.998667,3355.440672,4.5,0.085212
0.6,1620,27,20,20,5,3.787,0.002338,124.4296717,1620,27,20,20,5,30.955333,0.019108,208.5635454,1585.044667,20,5,193.194667,0.121886,381.2280043,227.937,0.070351,357.382875,353.512534,2739,955,3694,2542.018333,924.044667,3466.063,5,0.061705
0.7,1890,27,20,20,5,1.983333,0.001049,120.5201883,1890,27,20,20,5,27.858667,0.01474,215.2303506,1857.141333,20,5,149.684667,0.0806,393.8309014,179.526667,0.047494,365.806344,363.096529,2764,950,3714,2612.332002,922.141331,3534.473333,5,0.048338
0.8,2160,27,20,20,5,1.094,0.000506,117.0417428,2160,27,20,20,5,25.641333,0.011871,219.4712082,2129.358667,20,5,124.670667,0.058548,404.1980353,151.406,0.035048,372.685967,370.838782,2763,965,3728,2637.235335,939.358668,3576.594003,5,0.040613
0.9,2430,27,20,20,5,0.627667,0.000258,114.79893,2430,27,20,20,5,24.182333,0.009952,222.6433446,2399.817667,20,5,109.560333,0.045654,411.9128757,134.370333,0.027648,377.690597,376.462584,2778,965,3743,2667.812,940.817667,3608.629667,5,0.035899
1,2700,27,20,20,5,0.381,0.000141,113.7808399,2700,27,20,20,5,23.343,0.008646,224.3477773,2669.657,20,5,100.252667,0.037553,417.2281821,123.976667,0.022959,380.799662,379.97907,2788,950,3738,2687.366335,926.657,3614.023335,5,0.033167
